episode,epsilon,reward,steps,exit_reason
387,1,-377.1129008783146,189,terminated
388,1,-451.26898590168076,201,terminated
389,1,-398.94514634318386,192,terminated
390,1,-462.77234011203944,195,terminated
391,1,-455.85515712551035,197,terminated
392,1,-440.3118640149836,195,terminated
393,1,-427.2713875125849,192,terminated
394,1,-388.7704556181801,192,terminated
395,1,-423.41012022688767,196,terminated
396,1,-423.2868310010864,184,terminated
397,1,-433.85543690486344,192,terminated
398,1,-452.63284394627874,194,terminated
399,1,-411.16875572421264,193,terminated
400,1,-441.36823971736806,202,terminated
401,1,-427.31799823516724,193,terminated
402,1,-408.52985951818454,201,terminated
403,1,-419.52487486105997,196,terminated
404,1,-396.326590655126,189,terminated
405,1,-425.55311234103914,186,terminated
406,1,-432.01243708996674,197,terminated
407,1,-444.0616419267406,197,terminated
408,1,-390.163921331331,188,terminated
409,1,-456.22569153538365,202,terminated
410,1,-371.984189710926,190,terminated
411,1,-389.35414249205974,194,terminated
412,1,-409.1467367574763,197,terminated
413,1,-425.71744034185906,193,terminated
414,1,-396.95797058348353,189,terminated
415,1,-425.4332262212862,194,terminated
416,1,-388.33467111838615,192,terminated
417,1,-422.6935661205395,200,terminated
418,1,-427.7412656221116,193,terminated
419,1,-427.88965633372516,192,terminated
420,1,-423.130316751565,198,terminated
421,1,-401.1542195616005,197,terminated
422,1,-394.62044102207847,186,terminated
423,1,-400.54740180298364,190,terminated
424,1,-406.85323781805437,192,terminated
425,1,-429.2903617553442,198,terminated
426,1,-386.6201326445308,189,terminated
427,1,-416.9481579088573,198,terminated
428,1,-387.5488363966951,188,terminated
429,1,-399.8846328237139,194,terminated
430,1,-427.7109129101006,192,terminated
431,1,-410.00098839486805,200,terminated
432,1,-415.21858240793114,196,terminated
433,1,-455.30179207526294,203,terminated
434,1,-449.51863105341687,194,terminated
435,1,-389.71372795250477,191,terminated
436,1,-409.8473466375922,195,terminated
437,1,-401.4576828531018,187,terminated
438,1,-383.44387779936847,194,terminated
439,1,-399.981559949593,188,terminated
440,1,-408.67518806735904,196,terminated
441,1,-447.08208686912354,189,terminated
442,1,-467.2314872001736,193,terminated
443,1,-466.77902045770645,203,terminated
444,1,-403.71657059330664,198,terminated
445,1,-401.5693381157282,196,terminated
446,1,-421.3710544494449,195,terminated
447,1,-435.8784507093418,190,terminated
448,1,-413.71796089231725,198,terminated
449,1,-399.44073843890516,190,terminated
450,1,-378.2659831886891,187,terminated
451,1,-393.50000807751996,187,terminated
452,1,-390.7494553426804,188,terminated
453,1,-453.7371695591309,193,terminated
454,1,-399.4955622078269,186,terminated
455,1,-403.59342079519104,197,terminated
456,1,-429.12585366232065,194,terminated
457,1,-406.7456800203821,191,terminated
458,1,-381.13248187548123,193,terminated
459,1,-416.50865102681104,193,terminated
460,1,-447.0382210021764,197,terminated
461,1,-398.3261557643504,193,terminated
462,1,-422.2175052147361,200,terminated
463,1,-451.34363917065605,192,terminated
464,1,-444.0942522651594,202,terminated
465,1,-397.71968910863364,187,terminated
466,1,-377.4347861258651,181,terminated
467,1,-419.9859485243586,196,terminated
468,1,-465.8268621836167,196,terminated
469,1,-396.71627337760026,200,terminated
470,1,-395.35548243277873,192,terminated
471,1,-401.8887230139816,196,terminated
472,1,-432.9064276773948,199,terminated
473,1,-434.3014203608693,199,terminated
474,1,-452.3404248598986,195,terminated
475,1,-394.7859473793884,185,terminated
476,1,-439.7396290040703,195,terminated
477,1,-433.34707903183283,191,terminated
478,1,-448.6647370943024,200,terminated
479,1,-469.93416410173324,201,terminated
480,1,-439.6133895029184,194,terminated
481,1,-414.82800216253787,195,terminated
482,1,-402.1542008735747,185,terminated
483,1,-387.7902765953159,192,terminated
484,1,-444.7548256268151,191,terminated
485,1,-369.7194737119415,191,terminated
486,1,-438.861907137358,197,terminated
487,1,-406.463781959024,190,terminated
488,1,-452.4713019985446,191,terminated
489,1,-407.1194359132245,195,terminated
490,1,-391.7421884938505,189,terminated
491,1,-370.8958450352032,187,terminated
492,1,-455.09693282907295,193,terminated
493,1,-446.69171030213045,194,terminated
494,1,-427.9505106425945,189,terminated
495,1,-428.096210777431,200,terminated
496,1,-407.9355723559859,185,terminated
497,1,-380.02673265066477,189,terminated
498,1,-418.94175703414606,189,terminated
499,1,-396.31230957725586,200,terminated
500,1,-429.1061045419997,193,terminated
501,1,-389.5795711925615,192,terminated
502,1,-463.50938928694154,197,terminated
503,1,-387.22101395584826,192,terminated
504,1,-390.1358736697079,194,terminated
505,1,-398.9608999059569,196,terminated
506,1,-400.222382818431,198,terminated
507,1,-438.7825350314954,185,terminated
508,1,-419.7616799021486,194,terminated
509,1,-452.6172868500672,201,terminated
510,1,-384.26010145653214,199,terminated
511,1,-410.40617087263365,198,terminated
512,1,-407.3859176586804,192,terminated
513,1,-448.5402933800875,195,terminated
514,1,-455.2851498709505,196,terminated
515,1,-420.84180468657496,193,terminated
516,1,-406.998268775763,191,terminated
517,1,-425.7143955987753,207,terminated
518,1,-432.2087875557478,192,terminated
519,1,-408.02032365105634,193,terminated
520,1,-420.34142642667194,184,terminated
521,1,-451.9329914528458,198,terminated
522,1,-453.4868908619874,194,terminated
523,1,-399.4466542004915,196,terminated
524,1,-381.2957031491604,192,terminated
525,1,-437.78577299442344,196,terminated
526,1,-425.4554035053332,196,terminated
527,1,-423.19206729247077,185,terminated
528,1,-379.0861775149501,181,terminated
529,1,-386.7574442827617,191,terminated
530,1,-422.21532098448034,196,terminated
531,1,-445.4158955530683,193,terminated
532,1,-407.9556116827203,191,terminated
533,1,-421.7688840855199,184,terminated
534,1,-438.27217618623195,198,terminated
535,1,-420.69318993534864,189,terminated
536,1,-410.7169822847703,190,terminated
537,1,-427.5748281622991,202,terminated
538,1,-423.4595617494978,191,terminated
539,1,-373.58715354345304,189,terminated
540,1,-425.8470450000334,196,terminated
541,1,-399.9959012498669,201,terminated
542,1,-430.4499849461085,207,terminated
543,1,-392.6078971120943,190,terminated
544,1,-399.5357436787476,199,terminated
545,1,-453.79217866757597,199,terminated
546,1,-388.99642031321054,190,terminated
547,1,-424.50752129638755,194,terminated
548,1,-391.6571161440701,188,terminated
549,1,-385.97130161959797,196,terminated
550,1,-390.67173073936726,187,terminated
551,1,-413.68989418778625,191,terminated
552,1,-419.3002773788012,198,terminated
553,1,-410.8914306190208,194,terminated
554,1,-428.4373564091134,200,terminated
555,1,-462.52181926889153,196,terminated
556,1,-427.28650460996903,193,terminated
557,1,-382.64596309836406,190,terminated
558,1,-386.7524572575705,187,terminated
559,1,-394.5050531910819,190,terminated
560,1,-436.9685934102608,201,terminated
561,1,-454.01209841024087,198,terminated
562,1,-413.8369924640476,197,terminated
563,1,-454.5421560877869,200,terminated
564,1,-384.8463261829328,196,terminated
565,1,-423.70879706201936,190,terminated
566,1,-390.2358248159011,194,terminated
567,1,-448.2621004164405,193,terminated
568,1,-403.0874061236034,199,terminated
569,1,-409.1637140874592,191,terminated
570,1,-472.53406166745276,201,terminated
571,1,-410.5284244901373,193,terminated
572,1,-384.7915058435377,189,terminated
573,1,-379.99254056783866,188,terminated
574,1,-431.6271955095235,195,terminated
575,1,-378.8767662183918,185,terminated
576,1,-411.95089802418966,196,terminated
577,1,-399.5642799519753,200,terminated
578,1,-403.6263582617511,195,terminated
579,1,-464.93834481599686,193,terminated
580,1,-417.3019213415332,192,terminated
581,1,-393.1530189101394,188,terminated
582,1,-460.93492192807577,194,terminated
583,1,-450.0622693351012,197,terminated
584,1,-402.9745676131292,192,terminated
585,1,-430.3721265228613,197,terminated
586,1,-433.4664840548129,206,terminated
587,1,-392.48897243713265,192,terminated
588,1,-376.80905437390277,188,terminated
589,1,-408.9949147122851,202,terminated
590,1,-410.4648940295026,190,terminated
591,1,-390.01219978679234,190,terminated
592,1,-453.7416285550433,194,terminated
593,1,-399.81947393782895,190,terminated
594,1,-464.7877573560632,196,terminated
595,1,-434.21874881180696,197,terminated
596,1,-404.07798421227875,201,terminated
597,1,-377.00400818561394,192,terminated
598,1,-469.9124151373208,197,terminated
599,1,-399.68253701470167,194,terminated
600,1,-420.0244865309404,198,terminated
601,1,-394.3463179135964,187,terminated
602,1,-388.45041716282014,193,terminated
603,1,-449.82494076536574,198,terminated
604,1,-410.0679385946177,193,terminated
605,1,-391.82424717416256,189,terminated
606,1,-383.35599082467337,185,terminated
607,1,-398.18956357178627,200,terminated
608,1,-413.41581732926113,199,terminated
609,1,-451.6885537519844,197,terminated
610,1,-401.8431231567747,195,terminated
611,1,-393.34782636593746,196,terminated
612,1,-377.0985404579061,189,terminated
613,1,-378.8791641962097,191,terminated
614,1,-441.58217071502935,193,terminated
615,1,-408.3472753220912,192,terminated
616,1,-405.3551005198429,200,terminated
617,1,-442.16740314085536,195,terminated
618,1,-423.25159976010093,198,terminated
619,1,-470.3305604092337,201,terminated
620,1,-421.1039497813651,194,terminated
621,1,-374.01810278455963,192,terminated
622,1,-389.2717529695702,191,terminated
623,1,-408.37806874952224,195,terminated
624,1,-467.90925048305627,203,terminated
625,1,-392.2518540673746,191,terminated
626,1,-427.29273665203755,191,terminated
627,1,-438.5616130289562,194,terminated
628,1,-370.6647991007381,181,terminated
629,1,-392.1513818560474,194,terminated
630,1,-413.56985742840834,192,terminated
631,1,-373.7585790510295,183,terminated
632,1,-396.8245838785085,190,terminated
633,1,-382.81053587653156,185,terminated
634,1,-443.24785622299675,192,terminated
635,1,-429.61832413664473,193,terminated
636,1,-416.6041785855799,194,terminated
637,1,-432.8012366054897,193,terminated
638,1,-454.3487688588625,203,terminated
639,1,-401.6341566638206,194,terminated
640,1,-390.8651066111852,191,terminated
641,1,-399.86517188797524,193,terminated
642,1,-376.8697377033169,193,terminated
643,1,-444.46624898669126,196,terminated
644,1,-392.17758992322143,192,terminated
645,1,-439.44382039170375,200,terminated
646,1,-433.1882917881919,189,terminated
647,1,-439.9025452267936,196,terminated
648,1,-393.8169243458975,191,terminated
649,1,-475.0482102548094,200,terminated
650,1,-413.24643592628286,198,terminated
651,1,-403.97443768404503,197,terminated
652,1,-377.97836768811504,189,terminated
653,1,-456.7763196538055,196,terminated
654,1,-498.2759599920306,205,terminated
655,1,-383.5562300100808,197,terminated
656,1,-378.095774982409,188,terminated
657,1,-380.9223307745489,189,terminated
658,1,-477.708822813898,204,terminated
659,1,-431.00497876688587,193,terminated
660,1,-394.2852422161207,191,terminated
661,1,-409.88211368759613,190,terminated
662,1,-401.73529716981477,198,terminated
663,1,-430.20703337008456,194,terminated
664,1,-370.95532681608546,189,terminated
665,1,-426.41606590904365,193,terminated
666,1,-412.07997363609275,192,terminated
667,1,-405.3938355845314,190,terminated
668,1,-465.6993669239842,195,terminated
669,1,-466.1315816925974,199,terminated
670,1,-455.26761699579447,190,terminated
671,1,-391.6662278934935,188,terminated
672,1,-420.5551104958803,199,terminated
673,1,-425.527122367189,191,terminated
674,1,-436.3162352140524,193,terminated
675,1,-379.8200909780025,193,terminated
676,1,-422.0037302314328,188,terminated
677,1,-428.77214086568665,188,terminated
678,1,-410.6094565971438,192,terminated
679,1,-429.41354529042195,194,terminated
680,1,-411.57218888810036,203,terminated
681,1,-418.4377143428098,190,terminated
682,1,-421.8602340933312,191,terminated
683,1,-416.7879913179638,197,terminated
684,1,-379.0619607748605,188,terminated
685,1,-394.34040998575347,190,terminated
686,1,-467.6788856362259,203,terminated
687,1,-432.6935047931085,192,terminated
688,1,-442.77571355394656,193,terminated
689,1,-403.2884153440963,191,terminated
690,1,-400.42742967747336,194,terminated
691,1,-415.21805091921954,194,terminated
692,1,-383.24769571873145,198,terminated
693,1,-424.60643716339996,191,terminated
694,1,-391.2334332491386,189,terminated
695,1,-396.64812604754144,190,terminated
696,1,-459.1815867540984,194,terminated
697,1,-437.8481059357277,189,terminated
698,1,-411.058389368488,188,terminated
699,1,-387.36974387253883,193,terminated
700,1,-411.9304870711263,193,terminated
701,1,-415.09040815248807,200,terminated
702,1,-462.2716427134771,202,terminated
703,1,-409.6153016783817,198,terminated
704,1,-436.9365345975458,192,terminated
705,1,-436.1336942882797,194,terminated
706,1,-380.5992435114042,190,terminated
707,1,-442.05318343192766,190,terminated
708,1,-402.6639122387738,199,terminated
709,1,-397.46438391782874,188,terminated
710,1,-385.3698069215179,183,terminated
711,1,-499.6580021115597,202,terminated
712,1,-376.3724138963587,182,terminated
713,1,-445.3054344169696,198,terminated
714,1,-402.0278219695082,196,terminated
715,1,-401.7768966508272,200,terminated
716,1,-376.7345283736108,185,terminated
717,1,-404.5592815801594,197,terminated
718,1,-385.2827386224087,192,terminated
719,1,-403.46509232188606,195,terminated
720,1,-449.8501137255298,192,terminated
721,1,-444.18077778714616,195,terminated
722,1,-441.9984505106042,192,terminated
723,1,-427.2605338075026,200,terminated
724,1,-460.25640396290225,198,terminated
725,1,-445.53299431510834,190,terminated
726,1,-388.34750711150866,196,terminated
727,1,-475.57121994850206,198,terminated
728,1,-412.06512636187193,194,terminated
729,1,-392.20936363974647,189,terminated
730,1,-416.6474191088497,200,terminated
731,1,-396.9554008815358,190,terminated
732,1,-408.10766132804974,191,terminated
